doc_type,company,sentence,word count
news,coca-cola,"In response to Coca Cola marketing a PET (polyethylene terephthalate), plastic bottle for its Sprite soft drink brand as an solution to the country's plastic crisis, Greenpeace Africa Senior Political Advisor, Fredrick Njehu has said: Coca cola's latest campaign is nothing short of greenwashing.",44
news,coca-cola,Corporate capture in the production and distribution of plastic bottles cannot be corrected through collection and recycling processes.,18
news,coca-cola,"These have proven to be unsustainable, backward and in total disregard of efforts to curb plastic pollution in our environment.",20
news,coca-cola,It is rather unfortunate that the body mandated to curb the production of single use plastics is proactively participating in this greenwashing by the beverage industry.,26
news,coca-cola,NEMA must take decisive steps to stop Coca cola's greenwashing efforts.,11
news,coca-cola,Coca Cola is trying to capitalise on the shift from the green to clear bottle to continue flooding the environment and our oceans with single-use plastic bottles then sell us recycling as a solution to the plastic problem they are creating.,41
news,coca-cola,The only way to free our environment of plastic is to stop the production of single -use plastics.,18
news,coca-cola,Coca Cola alone produces 100 billion bottles of plastic per year and is the world's biggest plastic polluter.,18
news,coca-cola,It is estimated that only 9% of the 8.3 billion tonnes of plastics produced has been recycled.,17
news,coca-cola,Recycling has been proven to be unsustainable and cannot form a part of any sound environmental sustainability practice.,18
news,coca-cola,Plastic production and pollution is out of control globally and the global markets are awash with single use plastic bottles A recent UN report revealed how plastic pollution has disproportionate impacts on marginalised communities and countries.,36
news,coca-cola,Tight regulations ought to be enacted to curb such moves by big corporations like Coca Cola.,16
news,coca-cola,Corporations must commit to reduction and elimination of single use plastic bottles and instead diversify into alternative packing materials.,19
news,coca-cola,"Coca-Cola, one of the world's worst plastic polluters, is rolling out its first-ever 100 per cent recycled plastic bottle in the US.",22
news,coca-cola,"The company announced on Tuesday that it will begin selling Coca-Cola brands in the 13.2-oz bottle made from recycled PET plastic this month in California, Florida and some states in the Northeast.",32
news,coca-cola,Other fizzy drinks and waters will be sold in the recycled bottles this summer.,14
news,coca-cola,"The Coca-Cola Company was ranked as the world's top plastic polluter for the third year running alongside PepsiCo and Nestle, according to the 2020 audit from Break Free From Plastic.",30
news,coca-cola,"The annual brand audit of plastic waste involved more than 346,000 pieces of plastic in 55 countries.",17
news,coca-cola,These companies claim to be addressing the plastic crisis yet they continue to invest in false solutions while teaming up with oil companies to produce even more plastic.,28
news,coca-cola,"To stop this mess and combat climate change, multinationals like Coca-Cola, PepsiCo, and Nestl must end their addiction to single-use plastic packaging and move away from fossil fuels, said Abigail Aguilar from Greenpeace Southeast Asia.",35
news,coca-cola,"A separate report, from the Ellen MacArthur Foundation , found that corporations have made very little progress on making more plastic packaging recyclable, and reducing the need for single-use packaging altogether.",31
news,coca-cola,Coca-Cola says that the US is the 19th market where bottles made of recycled packaging are being rolled out.,19
news,coca-cola,The multinational has set a goal of making bottles with 50 per cent recycled material by 2030.,17
news,coca-cola,"More than 94 per cent of the company's North American packaging is currently recyclable, according to Coca-Cola.",17
news,coca-cola,"Challenges around plastic packaging waste and recycling continue to be top of mind for our consumers, customers and our system, said Alpa Sutaria, vice president and general manager, sustainability, North America Operating Unit.",33
news,coca-cola,Introducing 100% recycled PET bottles is a big proof point of how recycling can help create a circular economy.,19
news,coca-cola,"Coca-Cola, leading plastic polluter, says it will sell some 100% recycled bottles in US River floods are boosting the global spread of plastic, study finds Climate Corps America: Biden's big plan to recruit a citizen army of conservationists We are still not taking the climate crisis seriously - and the media must take responsibility",54
news,coca-cola,"Companies are setting ambitious goals for increasing the use of recycled plastic, driving demand.",14
news,coca-cola,"Recycled polyester depends on the collection of plastic bottles, which fell during the pandemic.",14
news,coca-cola,Supply constraints and higher prices could hurt sustainability pledges and long-term goals.,12
news,coca-cola,The clothing brand Patagonia was one of the first to start producing recycled polyester from plastic soda bottles back in 1993.,21
news,coca-cola,"The company, known for its industry-leading sustainability policies, has incorporated the recycled material into many of its items and said that 89% of the polyester in its latest season of products was made from recycled polyester.",36
news,coca-cola,"But as companies like Coca-Cola, Nestle, and Adidas actively seek to reduce their use of virgin plastic as part of long-term efforts to be more sustainable and new regulatory policies for post-consumer resin, or PCR, made from plastic soda bottles kick in, demand is expected to exceed the available supply in the US and European Union, causing prices to rise.",60
news,coca-cola,"The issues around recycled polyethylene terephthalate, or PET, highlight many of the business challenges that can accompany ambitious corporate sustainability goals that overlap with other organizations.",26
news,coca-cola,Companies urgently need to implement alternative processes and materials on a larger scale to reduce carbon emissions and limit global warming to 1.5 degrees Celsius.,25
news,coca-cola,"But implementing these new methods can be much more complicated than expected, even with the resources of a multinational company.",20
news,coca-cola,"Recycled PET, commonly known as rPET, is a type of post-consumer plastic used to make several types of products.",19
news,coca-cola,"These include plastic bottles, food containers, carpets, recycled polyester fabric, industrial straps, construction materials, and furniture.",16
news,coca-cola,There are challenges to the wider adoption of rPET and criticisms about whether it is actually sustainable or helping greenwash companies like H&M.,23
news,coca-cola,"The environmental benefits of rPET include lower dependence on oil-based virgin plastic, less greenhouse-gas emissions, as well as less pollution.",20
news,coca-cola,"Policies and promises are driving demand Companies like Nestle and Coca-Cola are eager to use more recycled material here's why that actually raises concerns over sustainability Fabric and fibers were the primary end use for rPET until last year when the use of the material for bottles (for food, beverages, and other uses) grew by 32%.",56
news,coca-cola,"There was also a 10% increase in end-use consumption of rPET in the US and Canada, according to the most recent report from National Association for PET Container Resources.",29
news,coca-cola,This shift in use and demand followed announced commitments from several major companies to use less virgin plastic and increase recycling.,21
news,coca-cola,"In 2018, the beverage giant Coca-Cola Co. pledged to use 50% recycled material in its bottles and cans by 2030.",20
news,coca-cola,The company also said it aimed to collect and recycle the volume of bottles equal to what it produces by the same year.,23
news,coca-cola,"In early 2020, Nestle pledged to increase the amount of rPET used across its brands to 50% by 2025 and make all of its packaging recyclable or reusable by 2025.",30
news,coca-cola,"The parent company of Nescafe and Purina pet food uses 8% recycled content in its plastic water bottles now, so it will need to source and use a significantly higher amount to meet these goals.",35
news,coca-cola,"Consumer goods and fashion companies like Unilever, Procter & Gamble, and Adidas have also made big promises about recycling and the increased use of recycled plastic.",26
news,coca-cola,"Nike's chief sustainability officer, Noel Kinder, said the company's volume of recycled polyester is already the equivalent of more than a billion plastic bottles a year.",26
news,coca-cola,The US states of California and Washington have also passed laws requiring certain items to have specific amounts of recycled plastic in their packaging.,24
news,coca-cola,Insufficient supply puts pressure on prices Several challenges lie ahead for these plans and policies involving rPET.,17
news,coca-cola,"The recycling rate for plastic drink bottles in the US fell from 27.9% in 2019 to 26.6% in 2020, compared to 64% in Europe.",24
news,coca-cola,"NAPCOR's report said this was due to pandemic-related closures of recycling and redemption centers, as well as disruption to curbside recycling programs.",22
news,coca-cola,"To meet the recycling goals of US beverage brands, an estimated 1.1 billion pounds of food-grade rPET will be needed in the next decade almost three times the amount produced in 2017.",32
news,coca-cola,"Increases in demand also helped push the price of rPET higher than virgin plastic in early 2020, and rPET is now selling at a 20% premium, The Wall Street Journal reported.",31
news,coca-cola,"Higher costs of production due to rising energy costs were also a factor, according to S&P Global Platts.",18
news,coca-cola,"One converter already expressed concern that some of the large companies will step back their sustainability pledges due to supply constraints, staff shortages, and these higher prices.",27
news,coca-cola,Items made from recycled polyester will still shed plastic microfibers during washing.,12
news,coca-cola,"And while PET can be recycled at least 10 times, clothes made from rPET most likely won't be recycled, especially if they are from fast-fashion retailers, whose items are often thrown out after only a few uses.",37
news,coca-cola,Read the original article on Business Insider,7
news,coca-cola,"Coca-Cola Nigeria has launched a recycling scheme designed to empower communities while the leading total beverage company partnered with Initiative for the Advancement of Waste Management in Africa (W.A.S.T.E Africa) and Mental and Environmental Development Initiative for Children (MEDIC) to formally kick-off its 'Cash 4 Trash' initiative at the Badore Jetty, Lagos.",52
news,coca-cola,"In her opening remarks, Director of Public Affairs, Communications and Sustainability, Coca-Cola Nigeria, Nwamaka Onyemelukwe said, 'A greener environment remains a priority area for Coca-Cola as evidenced by the numerous initiatives launched and supported by The Coca-Cola Foundation.",38
news,coca-cola,The Cash 4 Trash initiative presents an opportunity for us to ensure a reduced carbon footprint across Nigeria and an improved attitude towards waste management.',25
news,coca-cola,"'Cash 4 Trash is an initiative that not only ensures our streets are clean, but also provides monetary rewards to individuals.",21
news,coca-cola,"The incentivised nature of the project will ensure buy-in from all stakeholders and reconcile the best interests of all parties involved,' she added.",23
news,coca-cola,"Also, speaking at the event, the Founder of MEDIC, Doyinsola Ogunye remarked, 'It is a pleasure working with The Coca-Cola Foundation and W.A.S.T.E Africa to directly impact the lives of women and youths.",33
news,coca-cola,"We believe that with this initiative, even young children will imbibe the culture of waste management within the community.",19
news,coca-cola,"With the Cash 4 Trash Initiative, the whole community has a role to play in ensuring the economic and environmental wellbeing of the society.'",24
news,coca-cola,"'This development follows the official launch ceremony which was held in August 2020 where The Coca-Cola Foundation, the philanthropic arm of The Coca-Cola Company, partnered with W.A.S.T.E AFRICA to launch its novel 'Cash 4 trash' initiative in 5 communities across Abuja, FCT.",42
news,coca-cola,"This bold initiative is targeted at promoting a waste-free world through waste recovery, recycling, and economic development.",17
news,coca-cola,"Present at the launch event were the Secretary Eti-Osa East LCDA, Hon.",12
news,coca-cola,"Sanni Saheed; Supervisory Counselor Chieftaincy and Community Affairs Eti-Osa East LCDA, Hon.",12
news,coca-cola,"Agbalaya Abiodun; Founder EMR Consult, Wunmi Ogunde; Founder MEDIC, Doyinsola Ogunye; and Director of Public Affairs, Communications and Sustainability, Coca-Cola Nigeria, Nwamaka Onyemelukwe amongst others.",25
news,coca-cola,"Feb 09, 2021( Digital Journal: Delivered by Newstex) The soda and beverage giant has often been criticized for being one of the biggest producers of plastic waste.",28
news,coca-cola,"Today's move is a culmination of initiatives [1]Coca-Cola and other companies began several years ago to cut plastics use.Beginning in February 2021, the company is shifting to 100 percent recycled polyethylene terephthalate (rPET) plastic bottles across its drink portfolio.",39
news,coca-cola,"Brands, including Coke, Coke Zero Sugar, Diet Coke, and Fanta will now come in a new, 13.2oz bottle designed to be sippable and reduce the amount of plastic used, according to Waste 360.",33
news,coca-cola,"[2] The new, 13.2-ounce bottle is Coke's response to its customers wanting a container that's less wasteful.",17
news,coca-cola,"We've been listening to consumers and they have been telling us they want something a little smaller and a little more easy to consume, Alpa Sutaria, Coca-Cola's general manager of sustainability, told CNN Business.",34
news,coca-cola,[3]We took this opportunity to make a bottle with plastic that's 100% recyclable.,13
news,coca-cola,The 13.2-ounce size bottle is smaller than the typical 20-ounce bottle.,11
news,coca-cola,The company notes that its 7.5-ounce mini can have garnered strong sales.,12
news,coca-cola,"The Atlanta, Georgia-based firm said the new recycled bottles would help reduce its use of new plastic by more than 20 percent across its North American portfolio compared with 2018, reports Reuters.",32
news,coca-cola,"[4] Nestle and PepsiCo, among the top polluters, have also taken steps to redesign packaging and reduce waste.",18
news,coca-cola,"Nestl, the world's biggest food company, announced last year it's spending $2 billion on similar initiatives.",16
news,coca-cola,Pepsi recently rolled out a redesigned 2-liter bottle that uses 24 percent less material.,14
news,coca-cola,,15
news,coca-cola,"MIAMI: On Monday, November 15th, America Recycles Day, Coca-Cola Beverages Florida (Coke Florida) and The Coca-Cola Company partnered to launch a new Reverse Vending Machine (RVM) in the Hurricane Food Court at the University of Miami.",36
news,coca-cola,The University of Miami has integrated reverse vending into its sustainability programs.,12
news,coca-cola,Reverse vending is a recyclables recovery process by which plastic bottles and aluminum cans are deposited into a unit.,19
news,coca-cola,Florida's World Without Waste initiative aims to recycle a bottle or can for every one sold by 2030.,18
