doc_type,company,sentence,word count
news,coca-cola,"Recycling is one of the actions that the Mexican Coca-Cola Industry (IMCC) takes very seriously, to the point of being considered as the main recycler of PET food grade in the pai?s; In addition, it recently announced an investment equivalent to 11 billion pesos, with which it seeks to redouble efforts in the creation of infrastructure and job creation at a firm pace: A plan at three years and with actions oriented to the sustainable development of Me?xico.",78
news,coca-cola,"This will drive, in addition to returnability, collection and recycling initiatives, aimed at achieving a World Without Waste, to raise the social value of the collection chain around the nation.",30
news,coca-cola,"Reducing waste in the country is a priority issue Recycling, vital to the planet, also boosts the generation of work, currently generating more than 2 thousand 900 direct jobs and above 35 thousand indirect jobs, so among the goals set out in IMCC's investment, it is proposed to increase working opportunities within the recycling chain and the supply of valorable waste by 51%; this will directly impact the economic growth and well-being of thousands of Mexican families.",77
news,coca-cola,"We continue to evolve, always committed to the sustainable development of Me?xico, with our partners and allies.",17
news,coca-cola,Is this investment a great opportunity to grow together and be part of the positive impact that benefits millions of Mexicans I assure you?,24
news,coca-cola,"Roberto Mercade?, President of Coca-Cola Me?xico.",6
news,coca-cola,"It will have a positive impact on the planet and millions of Mexicans Historic commitment IMCC works by building close and long-term relationships with pepenators and recoverers, a key part of its efforts for a #MundosinResiduos.",36
news,coca-cola,"The reduction of waste in the environment, the saving of non-renewable natural resources, the generation of jobs and inclusive recycling that provides opportunities throughout the value chain, will be the priority issues to be covered by this historical commitment that it generates?",42
news,coca-cola,"social, environmental and economic benefits throughout the national territory.",9
news,coca-cola,To find out -They aim to make their packaging 100% recyclable by 2025.,13
news,coca-cola,-Coca-Cola profiles that by 2030 a bottle or can will be collected and recycled for each bottle they sell.,19
news,coca-cola,"For more information visit Mexican Coca-Cola Industry reaffirms its sustainable approach with returnability, collection and recycling",16
news,coca-cola,"The Sierra Club today sued companies that bottle brands like Dasani, Poland Spring and Niagara, alleging their bottles are falsely advertised as 100% recyclable.",24
news,coca-cola,"Today's lawsuit is an important step toward ending the unchecked use of plastic that cannot be recycled, Sierra Club Executive Director Michael Brune said in a statement.",27
news,coca-cola,This misinformation campaign seriously harms our ability to collectively create a livable planet and a sustainable future.,17
news,coca-cola,"Lawyers for the advocacy group are filing two lawsuits, one on behalf of the group and one on behalf of consumers.",21
news,coca-cola,"Both lawsuits allege that Coca-Cola Co., Niagara Bottling LLC and BlueTriton Brands (formerly Nestle Waters North America Inc.) violate California's Environmental Marketing Claims Act.",24
news,coca-cola,A spokesperson for Coca-Cola said the company does not comment on pending litigation.,13
news,coca-cola,Niagara and BlueTriton did not respond to a request for comment by publication time.,14
news,coca-cola,"The water bottles at issue are made with polyethylene terephthalate (PET), and at least 28% of all PET bottles are considered contaminated or lost in processing.",26
news,coca-cola,"That means the water bottles by definition couldn't be 100% recyclable, the Sierra Club contends.",15
news,coca-cola,"The group also says that the labels on plastic water bottles, made out of a polypropylene film, and some polypropylene bottle caps are not recyclable.",25
news,coca-cola,"The Sierra Club is asking courts to stop the bottlers from using the 100% recyclable label and to compel cash refunds for consumers, arguing that the number of bottles sold and their prices were inflated by the label.",38
news,coca-cola,"Judith Enck, a former regional EPA administrator and president of Beyond Plastics, said the recycling labels are a public relations scheme designed to deceive consumers.",25
news,coca-cola,"Quite honestly, we need companies to stop lying about the recycled content and recyclability of their products, and we need state regulators to start enforcing the law so consumers are not misled, Enck said.",34
news,coca-cola,Advocates have long been frustrated by recycling labels on plastics products.,11
news,coca-cola,"Two-thirds of consumers interpret the three chasing arrows symbol found on many consumer plastic products as a signal to recycle, according to a study by the industry-backed Consumer Brands Association.",30
news,coca-cola,"But the symbol, used by the plastics industry since 1989, instead merely indicates what type of plastic resin the marked product is composed of.",24
news,coca-cola,"Currently, about 8.5% of all plastics and 28% of PET bottles are recycled in the United States, rates that are below those for other commonly recycled materials like paper (68.2%) and aluminum cans (50.4%), according to EPA data.",38
news,coca-cola,"For far too long, the plastic industry has taken advantage of consumer confusion as to what is actually recyclable and what is not, said Sierra Club California's policy advocate, Lauren Cullum.",31
news,coca-cola,Their exploitation of a broken system must end now.,9
news,coca-cola,"Coca-Cola Nigeria has launched a recycling scheme designed to empower communities while the leading total beverage company partnered with Initiative for the Advancement of Waste Management in Africa (W.A.S.T.E Africa) and Mental and Environmental Development Initiative for Children (MEDIC) to formally kick-off its 'Cash 4 Trash' initiative at the Badore Jetty, Lagos.",52
news,coca-cola,"In her opening remarks, Director of Public Affairs, Communications and Sustainability, Coca-Cola Nigeria, Nwamaka Onyemelukwe said, 'A greener environment remains a priority area for Coca-Cola as evidenced by the numerous initiatives launched and supported by The Coca-Cola Foundation.",38
news,coca-cola,The Cash 4 Trash initiative presents an opportunity for us to ensure a reduced carbon footprint across Nigeria and an improved attitude towards waste management.',25
news,coca-cola,"'Cash 4 Trash is an initiative that not only ensures our streets are clean, but also provides monetary rewards to individuals.",21
news,coca-cola,"The incentivised nature of the project will ensure buy-in from all stakeholders and reconcile the best interests of all parties involved,' she added.",23
news,coca-cola,"Also, speaking at the event, the Founder of MEDIC, Doyinsola Ogunye remarked, 'It is a pleasure working with The Coca-Cola Foundation and W.A.S.T.E Africa to directly impact the lives of women and youths.",33
news,coca-cola,"We believe that with this initiative, even young children will imbibe the culture of waste management within the community.",19
news,coca-cola,"With the Cash 4 Trash Initiative, the whole community has a role to play in ensuring the economic and environmental wellbeing of the society.'",24
news,coca-cola,"'This development follows the official launch ceremony which was held in August 2020 where The Coca-Cola Foundation, the philanthropic arm of The Coca-Cola Company, partnered with W.A.S.T.E AFRICA to launch its novel 'Cash 4 trash' initiative in 5 communities across Abuja, FCT.",42
news,coca-cola,"This bold initiative is targeted at promoting a waste-free world through waste recovery, recycling, and economic development.",17
news,coca-cola,"Present at the launch event were the Secretary Eti-Osa East LCDA, Hon.",12
news,coca-cola,"Sanni Saheed; Supervisory Counselor Chieftaincy and Community Affairs Eti-Osa East LCDA, Hon.",12
news,coca-cola,"Agbalaya Abiodun; Founder EMR Consult, Wunmi Ogunde; Founder MEDIC, Doyinsola Ogunye; and Director of Public Affairs, Communications and Sustainability, Coca-Cola Nigeria, Nwamaka Onyemelukwe amongst others.",25
news,coca-cola,Coca-Cola Promotes Environmental Sustainability With Recycling Scheme Initiative,8
news,coca-cola,The Coca-Cola Company has some news to share.,8
news,coca-cola,The beverage and snack manufacturer is shifting to 100% recycled polyethylene terephthalate (rPET) plastic bottles across its drink portfolio.,19
news,coca-cola,"Beginning in February 2021, the company's brands including Coke, Coke Zero Sugar, Diet Coke and Fanta will now come in a new, 13.2oz bottle designed to be sippable and reduce the amount of plastic used.",35
news,coca-cola,"Coca-Cola was first introduced in 1886 and has since become one of the most iconic, recognizable drinks in the world.",20
news,coca-cola,"The shift to reduce plastics is part of the Atlanta-based company's 2018 global goal to create a World Without Waste, says Alpa Sutaria, vice president and general manager of sustainability for Coca-Cola's North America Operating Unit.",36
news,coca-cola,The company aims to make 100% of its packaging recyclable by 2025 and to use 50% recycled content by 2030.,20
news,coca-cola,The bottle redesign is a step forward to achieving this goal.,11
news,coca-cola,"Achieving a World Without Waste starts with design, Sutaria says.",10
