doc_type,company,sentence,word count
news,diageo,"The premium spirits multinational is working on its sustainability pillar within its Society 2030: Spirit of Progress plan, which it hopes to achieve by 2030.",25
news,diageo,"Diageo, the renowned premium beverage multinational, continues to take important steps in sustainability.",13
news,diageo,"As part of its sustainability agenda, Society 2030: Spirit of Progress, the company has managed to implement strategies in its value chain that are now bearing fruit to contribute to the sustainable development of the business and leave a positive legacy within the industry in Central America and the Caribbean.",50
news,diageo,"The company's sustainability pillar is divided into three areas: preserving water for life, accelerating toward a low- carbon world, and being sustainable by design.",24
news,diageo,"In the region, in particular, the company focuses on the third pillar of sustainability by design, which involves reducing packaging, increasing recycled content in its packaging, and eliminating all waste generated.",31
news,diageo,These actions have been implemented hand in hand with alliances with its strategic partners J Cain and Global Brands.,19
news,diageo,"Mar a Gabriela Mabo, Head of Corporate Relations of Diageo Central America and the Caribbean, commented: Leaving a legacy in the societies where we operate also implies being a company that works consistently on sustainability in our operations.",38
news,diageo,"At Diageo, we are committed to reducing our carbon footprint by up to 100% in our direct operations and 50% in our indirect operations, and to making our products 100% recyclable by 2030.",33
news,diageo,"To date, 80% of our packaging is recyclable and we are investing heavily in recycling to reach our goal.",19
news,diageo,Diageo has established commitments in Central America and the Caribbean for a more sustainable development of its business.,18
news,diageo,Among these commitments are: Reduce the weight of the packaging of its product portfolio by an additional 10%.,18
news,diageo,Use a minimum of 60% recycled materials in the packaging of its products by 2025 and 100% by 2030.,19
news,diageo,"For operations in Central America and the Caribbean, the priority is glass, since 95% of the imported material is glass.",20
news,diageo,Achieve 100% recyclability of its packaging on a large scale.,10
news,diageo,Achieve zero waste to landfill throughout its supply chain by 2030.,11
news,diageo,"Based on these commitments, the company has made progress with glass recycling initiatives.",13
news,diageo,"In conjunction with Global Brands and in alliance with Trashforma in Panama, the company has begun collecting glass from glass bottles.",21
news,diageo,Diageo has a collection point at a Global Brands branch and Trashforma collects the glass and destroys it.,18
news,diageo,The glass is then delivered to Grupo Vidriero Centroamericano to be processed and reused.,14
news,diageo,"Diageo proactively moves forward in Central America and the Caribbean with sustainability projects The company also has a program with Panama Waste Management for the destruction of glass, which in turn is responsible for disposing of the liquids under the supervision of the competent authorities.",45
news,diageo,"After this process, the glass is crushed and transported to Gesvil, the company in charge of recycling.",17
news,diageo,"In recent months, the company has managed to crush 18 tons of glass in Panama alone, equivalent to 6,000 bottles that have been managed for recycling and subsequent use, thus reducing its carbon footprint.",34
news,diageo,"In Costa Rica and the Dominican Republic, the company is about to implement efforts hand in hand with its partners FIFCO and Mercasid, respectively.",24
news,diageo,"It is important to note that in the Dominican market, the company has alliances with restaurants such as La Forchetta, Ferro Caf , Maxula, Kitchenette, MG Kitchen, with which it has been able to collect glass for recycling.",38
news,diageo,"In line with this strategy, the multinational also began its Project Oxygen program in April, with which it is gradually eliminating the use of 183 million cardboard gift boxes from its premium Scotch whisky portfolio worldwide.",36
news,diageo,"Among the brands that will be in this program are Johnnie Walker Black Label Blended Scotch Whisky, Johnnie Walker Red Label Blended Scotch Whisky, Buchanan's Blended Scotch Whisky and Bell's Original Blended Scotch Whisky.",34
news,diageo,The company expects to expand this project to the rest of its brand portfolio in the near future.,18
news,diageo,"Recently, the iconic brand in Diageo's portfolio, Smirnoff, announced its global program to recycle and develop more sustainable packaging.",19
news,diageo,"To do so, the brand has partnered with the Glass Packaging Institute GlassKing Recovery & Recycling and will work with more than 300 bars, restaurants and local businesses in Chicago to collect and transport discarded glass bottles to the packaging plant in Plainfield, Illinois.",44
